卡牌ID,卡牌组ID,前一个任务id,后一个任务id,成就类型,参数1,参数2,参数3,参数4,结果,成就点奖励,奖励类型,奖励id,奖励数量,描述
number,string,number,number,number,number,number,number,number,number,number,string,number,number,string
ID,group_id,pre_id,next_id,achievement_type,parm1,parm2,parm3,parm4,value,reward_points,reward_type1,reward_id1,reward_num1,desc
100001,1,0,100002,1,0,0,0,0,1,5,resource,500001,50,拥有1个好友
100002,1,100001,100003,1,0,0,0,0,5,5,resource,500001,70,拥有5个好友
100003,1,100002,100004,1,0,0,0,0,10,10,resource,500001,90,拥有10个好友
100004,1,100003,100005,1,0,0,0,0,50,10,resource,500001,120,拥有50个好友
100005,1,100004,100006,1,0,0,0,0,70,15,resource,500001,150,拥有70个好友
100006,1,100005,100007,1,0,0,0,0,100,15,resource,500001,180,拥有100个好友
100007,1,100006,100008,1,0,0,0,0,150,20,resource,500001,220,拥有150个好友
100008,1,100007,0,1,0,0,0,0,200,25,resource,500001,260,拥有200个好友
200001,2,0,200002,2,0,0,0,0,1,5,resource,500001,40,获得天梯胜利1场
200002,2,200001,200003,2,0,0,0,0,5,5,resource,500001,50,获得天梯胜利5场
200003,2,200002,200004,2,0,0,0,0,10,5,resource,500001,60,获得天梯胜利10场
200004,2,200003,200005,2,0,0,0,0,30,10,resource,500001,80,获得天梯胜利30场
200005,2,200004,200006,2,0,0,0,0,50,10,resource,500001,100,获得天梯胜利50场
200006,2,200005,200007,2,0,0,0,0,80,10,resource,500001,120,获得天梯胜利80场
200007,2,200006,200008,2,0,0,0,0,120,15,resource,500001,140,获得天梯胜利120场
200008,2,200007,200009,2,0,0,0,0,200,15,resource,500001,170,获得天梯胜利200场
200009,2,200008,200010,2,0,0,0,0,500,20,resource,500001,200,获得天梯胜利500场
200010,2,200009,200011,2,0,0,0,0,1000,20,resource,500001,250,获得天梯胜利1000场
200011,2,200010,200012,2,0,0,0,0,3000,25,resource,500001,300,获得天梯胜利3000场
200012,2,200011,200013,2,0,0,0,0,5000,30,resource,500001,350,获得天梯胜利5000场
200013,2,200012,0,2,0,0,0,0,10000,35,resource,500001,400,获得天梯胜利10000场
600001,6,0,600002,6,0,0,0,0,2,5,resource,500001,20,登录2天
600002,6,600001,600003,6,0,0,0,0,3,5,resource,500001,30,登录3天
600003,6,600002,600004,6,0,0,0,0,5,5,resource,500001,40,登录5天
600004,6,600003,600005,6,0,0,0,0,7,5,resource,500001,50,登录7天
600005,6,600004,600006,6,0,0,0,0,9,10,resource,500001,60,登录9天
600006,6,600005,600007,6,0,0,0,0,11,10,resource,500001,70,登录11天
600007,6,600006,600008,6,0,0,0,0,13,10,resource,500001,80,登录13天
600008,6,600007,600009,6,0,0,0,0,15,15,resource,500001,90,登录15天
600009,6,600008,600010,6,0,0,0,0,20,15,resource,500001,100,登录20天
600010,6,600009,600011,6,0,0,0,0,25,15,resource,500001,110,登录25天
600011,6,600010,600012,6,0,0,0,0,30,20,resource,500001,120,登录30天
600012,6,600011,600013,6,0,0,0,0,60,25,resource,500001,140,登录60天
600013,6,600012,600014,6,0,0,0,0,90,30,resource,500001,160,登录90天
600014,6,600013,600015,6,0,0,0,0,120,35,resource,500001,180,登录120天
600015,6,600014,600016,6,0,0,0,0,150,40,resource,500001,200,登录150天
600016,6,600015,600017,6,0,0,0,0,180,45,resource,500001,220,登录180天
600017,6,600016,600018,6,0,0,0,0,210,50,resource,500001,240,登录210天
600018,6,600017,600019,6,0,0,0,0,240,55,resource,500001,260,登录240天
600019,6,600018,600020,6,0,0,0,0,270,60,resource,500001,280,登录270天
600020,6,600019,600021,6,0,0,0,0,300,65,resource,500001,300,登录300天
600021,6,600020,600022,6,0,0,0,0,330,70,resource,500001,320,登录330天
600022,6,600021,0,6,0,0,0,0,360,75,resource,500001,340,登录360天
800001,8,0,800002,8,0,0,0,0,1,5,resource,500001,30,参与约战1场
800002,8,800001,800003,8,0,0,0,0,5,5,resource,500001,40,参与约战5场
800003,8,800002,800004,8,0,0,0,0,10,10,resource,500001,50,参与约战10场
800004,8,800003,800005,8,0,0,0,0,30,10,resource,500001,70,参与约战30场
800005,8,800004,800006,8,0,0,0,0,50,15,resource,500001,90,参与约战50场
800006,8,800005,800007,8,0,0,0,0,80,15,resource,500001,110,参与约战80场
800007,8,800006,800008,8,0,0,0,0,120,20,resource,500001,130,参与约战120场
800008,8,800007,800009,8,0,0,0,0,200,20,resource,500001,150,参与约战200场
800009,8,800008,800010,8,0,0,0,0,500,25,resource,500001,200,参与约战500场
800010,8,800009,800011,8,0,0,0,0,1000,30,resource,500001,250,参与约战1000场
900001,9,0,900002,9,0,0,0,0,1,15,resource,500001,45,获得约战冠军1次
900002,9,900001,900003,9,0,0,0,0,5,15,resource,500001,60,获得约战冠军5次
900003,9,900002,900004,9,0,0,0,0,10,20,resource,500001,75,获得约战冠军10次
900004,9,900003,900005,9,0,0,0,0,30,20,resource,500001,105,获得约战冠军30次
900005,9,900004,900006,9,0,0,0,0,50,25,resource,500001,135,获得约战冠军50次
900006,9,900005,900007,9,0,0,0,0,80,25,resource,500001,165,获得约战冠军80次
900007,9,900006,900008,9,0,0,0,0,120,30,resource,500001,195,获得约战冠军120次
900008,9,900007,900009,9,0,0,0,0,200,30,resource,500001,225,获得约战冠军200次
900009,9,900008,900010,9,0,0,0,0,500,35,resource,500001,300,获得约战冠军500次
900010,9,900009,900011,9,0,0,0,0,1000,40,resource,500001,375,获得约战冠军1000次
1100001,11,0,1100002,11,0,0,0,0,1,15,resource,500001,80,获得三连胜1次
1100002,11,1100001,1100003,11,0,0,0,0,3,20,resource,500001,100,获得三连胜3次
1100003,11,1100002,1100004,11,0,0,0,0,5,25,resource,500001,120,获得三连胜5次
1100004,11,1100003,1100005,11,0,0,0,0,7,30,resource,500001,140,获得三连胜7次
1100005,11,1100004,1100006,11,0,0,0,0,9,35,resource,500001,160,获得三连胜9次
1100006,11,1100005,1100007,11,0,0,0,0,11,40,resource,500001,180,获得三连胜11次
1100007,11,1100006,1100008,11,0,0,0,0,13,45,resource,500001,200,获得三连胜13次
1100008,11,1100007,1100009,11,0,0,0,0,15,50,resource,500001,220,获得三连胜15次
1100009,11,1100008,1100010,11,0,0,0,0,17,55,resource,500001,240,获得三连胜17次
1100010,11,1100009,1100011,11,0,0,0,0,19,60,resource,500001,260,获得三连胜19次
1100011,11,1100010,1100012,11,0,0,0,0,21,65,resource,500001,280,获得三连胜21次
1100012,11,1100011,1100013,11,0,0,0,0,23,70,resource,500001,300,获得三连胜23次
1100013,11,1100012,0,11,0,0,0,0,25,75,resource,500001,320,获得三连胜25次
